ax,ay,az,gx,gy,gz
-4916,-4440,16028,-1977,-2,3935
-7656,-5840,16812,-1958,-584,4514
-9724,-5852,15136,-923,-1031,4728
-8488,-5828,13656,204,-912,3519
-7448,-5188,12804,-163,-1476,2225
-5228,-4600,13052,-2466,-1289,291
-5008,-4824,13584,-1801,-88,-1058
-5104,-3636,13744,-502,184,-1073
-5200,-4304,14732,-1827,1198,-1505
-5268,-5052,16444,-638,-270,-1887
-6364,-6532,16448,698,-135,-2268
-6760,-8896,15424,1910,1557,-3193
-6100,-8252,13332,2967,700,-4417
-4860,-6264,12144,4870,-182,-4291
-6116,-5724,12180,2788,2443,-5622
-5220,-4384,13584,1401,1921,-5437
-5180,-5256,14560,1061,1253,-4621
-5744,-4768,15132,1533,1041,-4267
-6464,-4672,15740,750,2296,-2351
-7964,-7720,14464,-1385,3077,-2039
-8328,-5388,12504,755,-315,-3225
-7464,-6120,12856,-858,2005,-4182
-6564,-6464,13140,-609,1553,-4365
-6524,-4812,13612,-112,1416,-4596
-7520,-3848,14136,-281,1264,-2506
-7340,-4540,14876,-544,197,-768
-7184,-5452,14680,355,-1263,935
-5924,-7448,15036,1136,-945,461
-8760,-12312,14008,-2572,3746,-5903
-5428,-8728,12324,4355,-1530,-4319
-6216,-6396,11420,641,-630,-2973
-5964,-7080,12244,-657,1028,-1868
-4720,-6856,12356,-356,1223,-723
-5228,-7516,13876,-854,1123,-462
-4668,-6976,14232,202,475,-551
-4776,-7444,15156,343,520,-1253
-6208,-7568,14888,407,-167,-595
-8172,-5428,14128,-1168,-2183,462
-9780,-6844,13436,-2908,-1496,2430
-7672,-5348,12072,-430,-3140,1799
-9296,-4668,11852,-544,-1332,4623
-9208,-4856,13188,-1928,-2007,6231
-8468,-5476,14316,-3625,-4019,5849
-7648,-4292,14048,-2461,-1194,10028
-7612,-4232,13448,-3353,-1442,10519
-4672,-3940,13372,-5279,-2175,6651
-6864,-3460,13712,-5674,-5393,-332
-5796,-7492,15748,-4910,-4721,3028
-4760,-7840,14764,4,-3187,4610
-3672,-10304,14112,1492,676,5010
-5256,-6600,14080,332,-2750,-1481
-4836,-7160,13452,-1462,116,327
-7172,-4588,14248,-2535,-1117,696
-7652,-7780,16732,-2636,-5540,483
-6648,-8984,14688,-1084,-4607,1856
-7704,-8772,14760,-322,-2821,-1649
-6436,-7516,13104,-1590,-2260,2364
-4516,-7024,12640,-2138,-115,2198
-2672,-6336,11400,1174,-921,-1218
-3216,-5864,13268,-1021,2187,-902
-2836,-7872,13012,-3629,2353,-1633
-5104,-10240,12968,-2591,3328,-3642
-6308,-11760,11972,-1,3858,-1956
-5768,-11564,11544,107,4153,-4803
-6636,-11460,10972,1169,4453,-2746
-7396,-11500,11848,3532,2296,-4837
-7228,-11332,11688,2863,1401,-7297
-6648,-10536,11772,1032,908,-7437
-6136,-9488,10648,-3050,3985,-6431
-7760,-10360,11616,-4591,5488,-4802
-6188,-10380,11128,-2223,1340,-6212
-4812,-9708,11304,-82,3460,-4187
-6996,-10156,12080,947,1681,-1529
-6304,-9480,12632,-1639,1025,-2420
-5232,-9192,12572,-3672,-828,-1680
-3900,-9396,12152,-2819,-1264,-871
-3504,-10100,12328,-601,-1050,623
-3312,-11328,11912,-596,-1761,2162
-4464,-13392,11492,-258,-1397,371
-2884,-14692,9620,-26,-2921,3543
-1980,-15972,9076,484,-3145,1585
-2200,-16464,9728,2520,-1732,-1596
-160,-13372,10068,1382,-4163,-4893
-372,-12632,9956,-4016,-4249,-3501
-428,-13240,9716,-5789,-3824,-4680
524,-13300,8956,-4723,-2412,-265
-3920,-13820,9224,-1468,770,-3129
228,-12588,7980,880,-395,-2364
264,-12616,8356,1815,-191,-1203
