ax,ay,az,gx,gy,gz
-18716,288,644,-587,1600,-3505
-16776,-16,800,-514,5082,-1478
-14700,-260,856,386,851,-1030
-15716,-256,920,1411,-4606,-710
-17868,-56,1540,55,-4134,1003
-17448,-28,1572,-5944,365,2553
-16148,-1400,1476,-4105,442,2142
-15820,-920,2136,3157,-3687,1028
-16672,-680,2468,-2028,-3938,-888
-17320,-1320,2312,-3732,-661,437
-16360,-2104,3052,1742,1088,771
-15436,-916,3240,1561,-820,-547
-16104,-2088,3404,-3602,-447,-2374
-16704,-1944,3292,-330,510,-980
-15952,-1896,3488,1953,657,-55
-15576,-2108,3912,-1034,169,-1477
-15788,-1860,3996,442,-877,-643
-16240,-2396,4240,-1223,-743,-271
-15992,-2476,4344,94,-599,87
-15616,-2372,4224,-531,-990,-881
-15580,-2740,4364,-1350,620,25
-15472,-2788,4396,91,-807,-735
-15744,-2432,4416,322,-1162,-328
-16076,-2884,4804,-1131,-203,-639
-15420,-2924,4664,-712,109,109
-14976,-2920,4608,-35,-165,533
-15604,-3040,4844,-670,-231,-238
-13564,280,-124,1178,-6961,-4162
-21892,620,-84,2040,5263,475
-20340,560,-572,2894,17589,5331
-15116,304,-180,2957,14401,4748
-13536,112,-16,2690,3493,1767
-16984,348,-240,2396,-5105,637
-20392,576,-204,2699,-1043,3023
-16300,408,-164,3199,6555,4583
-12824,296,-8,2969,-4398,-256
-16624,408,-448,2589,-16542,-3794
-22372,740,-636,2738,-16879,-3141
-23012,688,-208,3318,-6316,-408
-16532,344,-60,3807,4298,692
-11248,104,36,3654,39,-2091
-15184,248,-120,3398,-6461,-3214
-20764,540,-148,3819,3952,-231
-20260,616,-452,4062,14259,641
-17160,456,-320,3782,14367,-775
-14604,168,92,3097,5015,-2937
-16272,352,-176,2419,-5418,-3673
-17420,916,-1304,-11296,-2332,-1714
-16948,160,-652,-10768,3463,-1981
-16048,184,-620,-10749,287,-1846
-16380,140,-672,-10817,-7942,-5176
-18308,384,-800,-10724,-12480,-8999
-19288,328,-816,-10410,-8912,-9976
-17212,124,-704,-10029,464,-5167
-13440,-16,-588,-9982,2907,2874
-14468,44,-544,-10249,-3490,7207
-19252,320,-792,-9921,-3425,9245
-21828,372,-824,-9290,1845,11798
-20320,340,-780,-8694,4270,12707
-16488,212,-556,-8278,1330,9419
-14812,96,-608,-7893,-4506,1330
-16296,220,-584,-7410,-2252,-5831
