ax,ay,az,gx,gy,gz,thetaG,phiG,thetaA,phiA,theta,phi
0.0781250000,-0.1398925781,-0.9160156250,-7.2442746162,-20.0229015350,3.0610687732,7423.8300781250,-155155.2656250000,3.0610687732,-4.8192291259,-13.7021446228,-16.5476989746
0.1762695312,-0.1662597656,-0.9343261718,-11.0305347442,-18.7862586975,16.7786254882,5978.2783203125,-157617.2031250000,16.7786254882,-10.5223035812,-13.6034030914,-16.4423046112
0.0776367187,-0.1831054687,-0.9235839843,-41.4580154418,-27.9770984649,9.8778629302,545.2054443359,-161283.6093750000,9.8778629302,-4.7136845588,-15.0011634826,-15.8720397949
-0.0209960937,-0.1118164062,-0.9890136718,-10.7938928604,-35.0763359069,18.7709922790,-869.3342285156,-165880.3593750000,18.7709922790,1.2084715366,-14.1770715713,-14.8007078170
-0.0393066406,-0.1694335937,-1.0798339843,-26.8778629302,-45.7480926513,10.3664121627,-4391.6777343750,-171875.6406250000,10.3664121627,2.0595061779,-14.5295600891,-14.2159700393
-0.0637207031,-0.1533203125,-1.0769042968,-28.1374053955,-35.9236640930,-1.6564885139,-8079.0844726562,-176583.4375000000,-1.6564885139,3.3525295257,-14.7592954635,-13.1074514389
-0.0312500000,-0.0483398437,-0.9704589843,-27.1450386047,-49.9389305114,12.5343513488,-11636.4414062500,-183127.9375000000,12.5343513488,1.8420766830,-14.1265869140,-12.9874267578
-0.1396484375,-0.0070800781,-0.9208984375,-54.5419845581,-58.9694671630,-16.8625946044,-18784.1679687500,-190855.8906250000,-16.8625946044,8.6225967407,-14.3909606933,-12.2521257400
-0.2424316406,-0.0236816406,-1.1076660156,-39.6030540466,-93.5114517211,18.7862586975,-23974.1484375000,-203110.5625000000,18.7862586975,12.3427562713,-14.0949172973,-12.5371303558
-0.2978515625,-0.0952148437,-1.3161621093,-35.7786254882,-3.6641221046,3.7862596511,-28662.9375000000,-203590.7500000000,3.7862596511,12.7192735671,-14.1066741943,-8.9043951034
-0.2292480468,0.1755371093,-1.1369628906,20.5877857208,62.7709922790,37.8473281860,-25964.9082031250,-195364.6093750000,37.8473281860,11.2697629928,-9.8247709274,-3.2105040550
-0.0529785156,0.0158691406,-0.8066406250,64.1679382324,21.7633590698,11.2366409301,-17555.6992187500,-192512.5156250000,11.2366409301,3.7569484710,-5.4552249908,-1.2404432296
-0.1530761718,-0.1687011718,-1.0144042968,5.2442746162,-21.7251911163,15.9389314651,-16868.4375000000,-195359.6093750000,15.9389314651,8.4667663574,-5.8148140907,-0.7076825141
-0.2668457031,-0.1586914062,-1.1437988281,-35.2137413024,-1.6259541511,-23.4503822326,-21483.1972656250,-195572.6875000000,-23.4503822326,13.0117559432,-7.5933928489,1.2811303138
-0.1853027343,0.1960449218,-0.9670410156,-11.5648851394,10.3969469070,-26.7480907440,-22998.7753906250,-194210.1718750000,-26.7480907440,10.6361522674,-5.2568063735,3.1262540817
-0.1333007812,0.0615234375,-0.9550781250,54.2671737670,10.9312973022,4.5496182441,-15887.0625000000,-192777.6250000000,4.5496182441,7.9292511940,-1.6143624782,4.3112840652
-0.1511230468,-0.0422363281,-0.9956054687,59.4961814880,-6.3282442092,24.4045810699,-8090.0878906250,-193606.9375000000,24.4045810699,8.6234083175,0.7961230754,4.6891522407
