ax,ay,az,gx,gy,gz
-16172,6360,-3800,2308,2667,-3765
-15700,5956,-3608,718,403,-620
-15272,5756,-3480,-121,-2115,-725
-15156,5764,-3660,-920,-1383,6818
-15724,6088,-3696,1083,923,2420
-15480,5904,-3572,577,-47,2747
-15344,5784,-3636,665,-1480,-662
-15632,5888,-3664,1318,-2403,-6122
-15380,5992,-3656,1355,-1217,-4315
-14740,5568,-3520,1513,630,-1608
-14720,5568,-3424,1741,1069,-1485
-15768,6128,-3632,887,485,2524
-16412,6212,-3788,-325,-757,6764
-15500,5776,-3664,339,-1283,3297
-14452,5584,-3584,1076,-110,2133
-14268,5428,-3368,1549,610,1423
-15340,5732,-3628,2173,73,-3364
-16556,6444,-3872,1683,-1900,-5521
-16036,6220,-3856,101,-3744,-1960
-14648,5464,-3524,159,-3364,-1348
-14240,5460,-3456,998,-1016,-27
-14936,5768,-3596,1483,2248,4743
-15868,5984,-3872,2311,4082,5258
-16016,6124,-3768,2524,2446,1628
-15424,6008,-3536,1286,-770,1407
-15100,5680,-3588,266,-3928,-454
-15224,5816,-3704,516,-5007,-4365
-15364,6032,-3764,572,-3483,-2439
-15040,5744,-3584,902,-1422,168
-15100,5676,-3468,1638,-91,-679
-15652,6136,-3724,1673,1015,1642
-15824,6028,-3708,1608,1823,3994
-15152,5692,-3728,2652,2597,847
-14640,5656,-3532,2656,2243,242
-14844,5644,-3516,1511,100,1420
-15860,5988,-3696,579,-3049,-757
-16564,6400,-3880,-457,-5947,-1924
