ax,ay,az,gx,gy,gz
-1985,-36,-646,-36,-6,-2
-1985,-36,-624,-37,-2,0
-1983,-28,-641,-34,-9,-3
-1994,-41,-652,-38,-5,0
-1996,-24,-633,-35,-4,-4
-1988,-27,-632,-34,-2,-2
-1993,-30,-626,-38,-7,6
-1990,-32,-639,-35,-11,1
-2002,-28,-646,-35,-7,-1
-1997,-32,-629,-35,-9,-1
-1979,-28,-643,-37,-8,-4
-2002,-22,-629,-35,-5,-2
-1982,-30,-646,-38,-7,1
-1985,-39,-640,-35,-5,-3
-1993,-30,-639,-36,-6,-1
-1996,-31,-651,-33,-10,-5
-2004,-39,-631,-35,-6,-2
-1989,-27,-623,-37,-7,-1
-1989,-18,-644,-38,-11,-2
-1993,-31,-640,-32,-3,-2
-1986,-32,-635,-34,-8,-4
-1997,-31,-631,-32,-6,1
-1981,-37,-636,-31,-8,-7
-1988,-35,-639,-33,-8,-2
-1998,-35,-645,-35,-13,0
-1987,-43,-648,-38,-5,1
-1997,-33,-633,-29,-8,0
-1993,-35,-642,-34,-9,1
-1987,-30,-640,-30,-3,-1
-1983,-37,-645,-34,-9,0
-1985,-36,-637,-36,-4,-2
-1991,-39,-635,-36,-9,-2
-1991,-25,-644,-37,-8,-1
-1991,-32,-648,-32,-9,-3
-1994,-38,-639,-34,-12,-2
-1992,-38,-647,-34,-6,1
-1989,-35,-627,-32,-2,-3
-1984,-38,-637,-32,-5,-5
-1981,-37,-631,-34,-9,0
-1992,-24,-636,-37,-11,-3
-1984,-36,-627,-35,-8,1
-1996,-32,-651,-34,-1,-2
-1982,-32,-639,-35,-7,-5
-1986,-28,-646,-36,-5,1
-2002,-34,-631,-33,-2,-1
-1993,-35,-622,-35,-10,-2
-1979,-47,-641,-41,-11,-5
-1995,-29,-642,-33,-5,-4
-1989,-33,-640,-35,-9,-4
-1997,-35,-629,-35,-4,0
-1971,-24,-649,-31,-10,-1
-1993,-41,-637,-31,-4,-1
-1990,-42,-633,-34,-7,1
-1977,-36,-637,-34,-10,0
-1977,-32,-632,-32,-2,0
-1979,-41,-628,-32,-6,-1
-2002,-31,-650,-36,-9,-3
-2001,-36,-638,-39,-8,-1
-1993,-29,-630,-34,-14,-5
-1991,-34,-650,-37,-10,-4
-2006,-33,-648,-34,-5,-3
-1994,-30,-628,-37,-8,-1
-1999,-30,-658,-36,-4,-2
-1997,-32,-630,-35,-5,-1
-1996,-40,-639,-34,-3,-1
-1999,-29,-642,-34,-4,-3
-1973,-35,-637,-34,-11,-2
-1995,-29,-654,-34,-8,1
-1993,-29,-640,-34,-13,-4
-1992,-29,-640,-34,-6,-1
-1989,-34,-641,-33,-7,-4
-1992,-24,-640,-32,-4,3
-1988,-43,-648,-36,-7,0
-1984,-42,-650,-35,-4,-3
-1994,-33,-652,-35,-5,0
-1993,-36,-638,-31,-8,3
-1989,-27,-638,-35,-9,-2
-1987,-31,-646,-35,-7,-1
-1979,-31,-645,-35,-9,-2
-1978,-27,-635,-32,-2,-5
-1989,-31,-648,-34,-5,-2
-1986,-38,-646,-38,-9,-5
-1987,-40,-639,-37,-9,-3
-1983,-35,-629,-34,-11,-4
-1989,-25,-637,-36,-9,-2
-1989,-30,-648,-30,-4,2
-1996,-37,-639,-36,-10,0
